School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
KIPP Chicago - Bloom Campus,400163,60621,Englewood,6,3,3
Horizon Science Academy - McKinley Park,NULL,60609,New City,2,1,11
Horizon Science Academy - Belmont,NULL,60639,Austin,8,4,37
UNO Charter School Network - Brighton Park,400153,60632,Brighton Park,21,11,12
UNO Charter School Network - Rogers Park High School,400121,60645,Rogers Park,14,7,49
UNO Charter School Network - Soccer High School,400149,60625,North Park,15,8,39
Foundations College Prep,NULL,60643,Morgan Park,14,27,9
Great Lakes Academy Charter School,NULL,60608,Near West Side,25,13,5
Horizon Science Academy Southwest Chicago Charter School,NULL,60609,Gage Park,1,1,16
Noble St. - ITW David Speer Academy,NULL,60639,Belmont Cragin,3,2,37
Noble St. - The Noble Academy,NULL,60602,Loop,5,3,42
